"Description","Media Serial","Region","File","Size","MD5","CRC32"
"Angelique (Japan) (Premium Box)","","","Angelique (Japan) (Premium Box).sfc","2097152","DB49DD09A12D1CA5AF211D242FB5C280","3DA108C4"
"Angelique - Voice Fantasy (Japan)","","Japan","Angelique - Voice Fantasy (Japan).sfc","3145728","DBE906D3970E74CABA0A210331E6AD73","EA6AE8A9"
"Animal Buranden - Brutal (Japan)","","","Animal Buranden - Brutal (Japan).sfc","2097152","99C3EBFB50BC017D7384568619937C6B","78ECA50D"
"Animaniacs (Europe)","SNSP-ANCP-EUR","Europe","Animaniacs (Europe).sfc","1048576","CE41FB926DB8FCAAD4665774F3731B7A","C28A80F6"
"Animaniacs (Japan)","","","Animaniacs (Japan).sfc","1048576","7ABE23225CA0DDC5EE93333CE3BB9137","D93E07A8"
"Animaniacs (USA)","","USA","Animaniacs (USA).sfc","1048576","FF08CA993882BFE2AB860865897BFE77","CF0F14D2"
"Animaniacs (USA)","SNS-ANCE-USA","USA","Animaniacs (USA).sfc","1048576","FF08CA993882BFE2AB860865897BFE77","CF0F14D2"
"Another World (Europe)","SNSP-TW-SCN","Europe","Another World (Europe).sfc","1048576","9075CB9A818C85B477A4F496FD529BED","83B40AF2"
"Aoki Densetsu Shoot! (Japan)","","","Aoki Densetsu Shoot! (Japan).sfc","1572864","41668CD2BFD33FAB8B7168FECFF2AE4B","9EA4AD6F"
"Aoki Densetsu Shoot! (Japan) (Beta)","","Japan","Aoki Densetsu Shoot! (Japan) (Beta).sfc","1572864","75153872F28230159187DFED142A969B","95487DCE"
"Apocalypse II (Europe) (Proto)","","","Apocalypse II (Europe) (Proto).sfc","1048576","D6338907994390837D6DBB8D3B99563F","6A53C658"
"Appleseed - Prometheus no Shintaku (Japan)","","","Appleseed - Prometheus no Shintaku (Japan).sfc","2097152","BC090BB8677B62961EBAB3F87A2F622B","C0E62C02"
"Aqutallion (Japan)","","Japan","Aqutallion (Japan).sfc","1048576","5223B322DE6CDB821F9752972ADBC00C","4CA1696F"
"Arabian Nights - Sabaku no Seirei Ou (Japan)","","Japan","Arabian Nights - Sabaku no Seirei Ou (Japan).sfc","2621440","EB1AD755DA3310F392CF8BC94962612E","B6DBF57B"
"Arabian Nights - Sabaku no Seirei Ou (Japan) (Beta)","","Japan","Arabian Nights - Sabaku no Seirei Ou (Japan) (Beta).sfc","2621440","CE5090F7F795557C48986BA68CFF09DB","DB17DCFA"
"Araiguma Rascal (Japan)","","","Araiguma Rascal (Japan).sfc","1048576","FF5876E27215D97F21A11B615578E25E","DE13EC70"
"Arcade's Greatest Hits - The Atari Collection 1 (Europe)","","","Arcade's Greatest Hits - The Atari Collection 1 (Europe).sfc","524288","778DB880D42AA2BA19ADB71F69E7067E","D562233E"
"Arcade's Greatest Hits - The Atari Collection 1 (USA)","","USA","Arcade's Greatest Hits - The Atari Collection 1 (USA).sfc","524288","FBF6512DCB3905A0E1847B397F0F5886","02394F36"
"Arcade's Greatest Hits - The Atari Collection 1 (USA)","SNS-AW7E-USA","USA","Arcade's Greatest Hits - The Atari Collection 1 (USA).sfc","524288","FBF6512DCB3905A0E1847B397F0F5886","02394F36"
"Arcade's Greatest Hits - The Atari Collection 1 (USA)","SNS-AW7E","USA","Arcade's Greatest Hits - The Atari Collection 1 (USA).sfc","524288","FBF6512DCB3905A0E1847B397F0F5886","02394F36"
"Arcana (USA)","","USA","Arcana (USA).sfc","1048576","CEFE028852135A1695ED9F6E692BC0CA","C891B297"
"Arcana (USA)","SNS-RF-USA","USA","Arcana (USA).sfc","1048576","CEFE028852135A1695ED9F6E692BC0CA","C891B297"
"Archer Maclean's Super Dropzone (Europe)","SNSP-ASDP-EUR","Europe","Archer Maclean's Super Dropzone (Europe).sfc","1048576","9F3043950A98A620CE522388E60BEA33","E1CCCE49"
"Arcus Odyssey (USA) (Proto)","","","Arcus Odyssey (USA) (Proto).sfc","1572864","DB313D0C844CF97D18075317EC9F7756","184EF398"
"Arcus Spirits (Japan)","","Japan","Arcus Spirits (Japan).sfc","1310720","1A4017D552B041F254E2E15BB6156450","C9067671"
"Ardy Lightfoot (Europe)","SNSP-A9-EUR","Europe","Ardy Lightfoot (Europe).sfc","1048576","12A0AE90DD65F109BEBB1172FCAF5DDD","D239398F"
"Ardy Lightfoot (Japan)","","","Ardy Lightfoot (Japan).sfc","1048576","FBFB078EFA9B6DE2DA700F4DD5FD5CE6","2AA7777B"
"Ardy Lightfoot (Japan) (Beta)","","","Ardy Lightfoot (Japan) (Beta).sfc","1048576","5D6AF8C84B0AA3520F16D05B7E5F8BAA","F73A6E33"
"Ardy Lightfoot (USA)","","USA","Ardy Lightfoot (USA).sfc","1048576","000C3BB276FD456E0E259553DEDE9BA4","51A5F489"
"Ardy Lightfoot (USA)","SNS-A9-USA","USA","Ardy Lightfoot (USA).sfc","1048576","000C3BB276FD456E0E259553DEDE9BA4","51A5F489"
"Area 88 (Japan)","SHVC-E8","Japan","Area 88 (Japan).sfc","1048576","9E6FF27AAE9AA5C21D9E7FA88338B2DE","06388F71"
"Aretha (Japan)","","Japan","Aretha (Japan).sfc","2097152","DDF4920AE09530DA94EAE230FDFFD3C4","395BADE3"
"Aretha (Japan)","SHVC-YJ","Japan","Aretha (Japan).sfc","2097152","DDF4920AE09530DA94EAE230FDFFD3C4","395BADE3"
"Aretha II - Ariel no Fushigi na Tabi (Japan)","","Japan","Aretha II - Ariel no Fushigi na Tabi (Japan).sfc","2097152","0EE181FD933BE14CFA6D323FAE03AAE3","FF63EC26"
"Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 1)","","","Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 1).sfc","2097152","85265435DDCC6358A587895E0AAC8915","7F5A6F91"
"Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 2)","","","Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 2).sfc","2097152","70563C47FA4AFE306A2E110998005753","7B164161"
"Arkanoid - Doh It Again (Europe)","SNSP-A6-EUR","Europe","Arkanoid - Doh It Again (Europe).sfc","524288","06EFFCF7FD688F89E63E83AE2369D1C5","D436489B"
"Arkanoid - Doh It Again (Japan) (En)","","","Arkanoid - Doh It Again (Japan) (En).sfc","524288","2CDBA2EA2369BFE29E9B5C59A04C8F8E","7A8BBAFA"
"Arkanoid - Doh It Again (USA)","","USA","Arkanoid - Doh It Again (USA).sfc","524288","03D30CA9AAA89738640CF14532DDFE6C","B50503A0"
"Arkanoid - Doh It Again (USA)","SNS-A6-USA","USA","Arkanoid - Doh It Again (USA).sfc","524288","03D30CA9AAA89738640CF14532DDFE6C","B50503A0"
"Art of Fighting (Europe)","SNSP-RW-UKV","Europe","Art of Fighting (Europe).sfc","2097152","A29C0A3E8A340AAA7672B00B190BE396","143051A5"
"Art of Fighting (Europe)","SNSP-RW-FAH","Europe","Art of Fighting (Europe).sfc","2097152","A29C0A3E8A340AAA7672B00B190BE396","143051A5"
"Art of Fighting (USA)","SNS-RW-USA","USA","Art of Fighting (USA).sfc","2097152","9E379F323ACC381163EDB6C6A24F9C1A","9FA74067"
"Art of Fighting (USA)","SNS-RW","USA","Art of Fighting (USA).sfc","2097152","9E379F323ACC381163EDB6C6A24F9C1A","9FA74067"
"Aryol (Japan)","","","Aryol (Japan).sfc","1048576","03C868AB217E6E676F965A2319871A5C","43B1AAD9"
"Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu (Japan)","","","Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu (Japan).sfc","1048576","3D3C735AD372DBBBB7CAFB809C60678B","506A8F77"
